"","world","interv","protocol","index_asymp","percent_over_5","mean_clustersize","q25_clustersize","q50_clustersize","q75_clustersize","mean_affected","median_affected","mean_days_lax","q25_days_lax","mean_days_strict","q25_days_strict","q50_days_strict","q75_days_strict"
"1","d","Baseline","I","No",88.8,3.38225,1,2,4,2.39725,1,14.3019166666667,15.6666666666667,14.3019166666667,2,3.83333333333333,15.6666666666667
"2","d","Baseline","I","Yes",211.2,6.68975,2,5,10,3.3445,2,39.8430833333333,60,39.8430833333333,12.1666666666667,28.1666666666667,60
"3","d","Contact
","II","No",56.8,2.49975,1,2,3,7.598,5,10.023875,12.5,6.949125,1.83333333333333,2.5,6
"4","d","Contact
","II","Yes",191.4,5.1495,2,4,8,9.444,10,32.21525,45.8333333333333,25.5676666666667,11,20,35.2083333333333
"5","d","Two groups
is an outbreak","III","No",49.4,2.346,1,2,3,11.7345,5,9.16029166666667,12.3333333333333,5.24108333333333,1.83333333333333,2.5,5.5
"6","d","Two groups
is an outbreak","III","Yes",187.9,4.783,2,4,7,14.8405,25,30.2904166666667,43.1666666666667,20.7692083333333,10.8333333333333,17.5,27.5
"7","d","Whole class","IV","No",23.2,2.0545,1,2,3,24.7895,25,7.63620833333333,10.3333333333333,2.517875,1.83333333333333,2.16666666666667,2.83333333333333
"8","d","Whole class","IV","Yes",159.9,4.213,2,4,6,19.394,25,27.3406666666667,37.6666666666667,15.7995,9.83333333333333,13.5,19.3333333333333
"9","e","Baseline","I","No",161.2,6.44125,1,3,11,4.1885,2,30.0611666666667,47.6666666666667,30.0611666666667,2.33333333333333,7.08333333333333,47.6666666666667
"10","e","Baseline","I","Yes",290.4,11.411,4,11,18,6.1275,6,64.2344583333333,100,64.2344583333333,20.3333333333333,59.25,100
"11","e","Contact
","II","No",121.5,3.81925,1,2,5,10.435,10,17.005625,23.7083333333333,11.8495,2.16666666666667,4.33333333333333,15.6666666666667
"12","e","Contact
","II","Yes",277.1,7.863,4,8,11,14.293,15,46.5669583333333,68,33.926,15.8333333333333,29.8333333333333,48.1666666666667
"13","e","Two groups
is an outbreak","III","No",107.7,3.32,1,2,5,15.77175,25,14.3255416666667,21.1666666666667,7.17758333333333,2.16666666666667,4.16666666666667,9.33333333333333
"14","e","Two groups
is an outbreak","III","Yes",272.5,6.9865,4,7,10,19.46425,25,41.9370416666667,59.3333333333333,23.6199166666667,13.9583333333333,20.8333333333333,30.6666666666667
"15","e","Whole class","IV","No",59.1,2.66975,1,2,4,24.8515,25,10.9124166666667,16,2.75045833333333,1.83333333333333,2.33333333333333,3.16666666666667
"16","e","Whole class","IV","Yes",242.9,5.9965,3,6,8,22.0565,25,36.8149583333333,51.3333333333333,17.1143333333333,11,15,20.8333333333333
