days_asymp_lax,days_asymp_strict,total_infected,total_not_detected,students_affected,students_disrupted,panel,panelname,asymp_ratio,beta_aerosol_factor,mu_pip,world,protocol,simulation_number,betaenv,betaindex,index_asymp
18.4,18.4,5,1,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
19.2,19.2,5,1,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
22.4,22.4,6,1,0,5,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
20,20,6,1,0,5,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
11.2,11.2,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
12.8,12.8,5,1,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
20,20,6,1,0,5,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
7.2,7.2,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
11.2,11.2,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
7.2,7.2,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
12.8,12.8,5,0,0,5,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
36,36,5,1,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
7.2,7.2,4,1,0,3,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
21.6,21.6,5,1,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,1,0,3,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
10.4,10.4,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8,8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
8.8,8.8,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
9.6,9.6,4,0,0,4,1,"env beta low, index same",0.8,0.25,2,d,I,4000,0.003,1,0
